sample	cell_type	coq8a_positive_in_label	coq8a_positive_total	label_beads	injury_beads	fraction_label_among_coq8a_positive	baseline_label_fraction	relative_enrichment	odds_ratio	odds_ratio_plot	odds_ratio_ci_low	odds_ratio_ci_high	zero_cell_correction	p_fisher	p_adj_bh_within_section_15_labels
Young	B cells	1	149	117	11481	0.0067114094	0.01019075	0.65857856	0.65330848	0.65330848	0.090644958	4.7086124	False	1	1
Young	Dendritic cells	7	149	488	11481	0.046979866	0.042505008	1.1052784	1.1120758	1.1120758	0.51783549	2.3882344	False	0.68361133	1
Young	Endothelial cells	0	149	51	11481	0	0.0044421218	0	0	0.7326363	0.04500158	11.927491	True	1	1
Young	Erythrocytes	0	149	6	11481	0	0.00052260256	0	0	5.8278878	0.32681502	103.92508	True	1	1
Young	FAPs	12	149	1138	11481	0.080536913	0.099120286	0.81251696	0.79392203	0.79392203	0.43865846	1.4369088	False	0.57974621	1
Young	Fusing Myocytes	44	149	2083	11481	0.29530201	0.18143019	1.6276344	1.9098624	1.9098624	1.3388277	2.724454	False	0.00057465627	0.008619844
Young	Monocytes/Macrophages	11	149	1389	11481	0.073825503	0.12098249	0.61021642	0.57578722	0.57578722	0.31078328	1.0667592	False	0.077021738	0.57766304
Young	MuSCs	1	149	120	11481	0.0067114094	0.010452051	0.64211409	0.63666818	0.63666818	0.088354828	4.5877105	False	1	1
Young	Myonuclei	67	149	5442	11481	0.44966443	0.47400052	0.94865809	0.90554509	0.90554509	0.65436094	1.2531492	False	0.56423695	1
Young	NK cells	2	149	99	11481	0.013422819	0.0086229423	1.5566402	1.5758468	1.5758468	0.38489901	6.4518047	False	0.36886888	1
Young	Neutrophils	0	149	23	11481	0	0.0020033098	0	0	1.6095496	0.097307391	26.623361	True	1	1
Young	Pericytes and Smooth muscle cells	3	149	196	11481	0.020134228	0.017071684	1.1793932	1.1859252	1.1859252	0.37475869	3.7528645	False	0.74320843	1
Young	Schwann and Neural/Glial cells	0	149	86	11481	0	0.0074906367	0	0	0.43484061	0.02685473	7.0410818	True	0.63108188	1
Young	T cells	0	149	42	11481	0	0.0036582179	0	0	0.88849105	0.05442063	14.505829	True	1	1
Young	Tenocytes	1	149	201	11481	0.0067114094	0.017507186	0.3833517	0.37608108	0.37608108	0.052364521	2.7010078	False	0.52551492	1
Geriatric	B cells	0	63	107	9697	0	0.011034341	0	0	0.69785754	0.042896023	11.353154	True	1	1
Geriatric	Dendritic cells	2	63	379	9697	0.031746032	0.039084253	0.81224609	0.80506153	0.80506153	0.19611335	3.3048442	False	1	1
Geriatric	Endothelial cells	1	63	42	9697	0.015873016	0.0043312365	3.664777	3.7738002	3.7738002	0.51102731	27.868506	False	0.23992673	1
Geriatric	Erythrocytes	0	63	20	9697	0	0.0020624936	0	0	3.6929134	0.22093763	61.72606	True	1	1
Geriatric	FAPs	2	63	470	9697	0.031746032	0.048468599	0.65498143	0.64214656	0.64214656	0.15653676	2.6342196	False	0.76981895	1
Geriatric	Fusing Myocytes	21	63	1388	9697	0.33333333	0.14313705	2.3287704	3.0237747	3.0237747	1.7852478	5.1215373	False	0.00016453601	0.0024680401
Geriatric	Monocytes/Macrophages	7	63	1468	9697	0.11111111	0.15138703	0.73395398	0.6992642	0.6992642	0.31808249	1.5372441	False	0.48038331	1
Geriatric	MuSCs	0	63	88	9697	0	0.0090749716	0	0	0.84937052	0.05213752	13.837066	True	1	1
Geriatric	Myonuclei	28	63	5191	9697	0.44444444	0.5353202	0.83024037	0.69277552	0.69277552	0.42079459	1.1405515	False	0.16376024	1
Geriatric	NK cells	0	63	102	9697	0	0.010518717	0	0	0.73228346	0.044998061	11.916937	True	1	1
Geriatric	Neutrophils	0	63	58	9697	0	0.0059812313	0	0	1.2889831	0.078807868	21.082634	True	1	1
Geriatric	Pericytes and Smooth muscle cells	1	63	132	9697	0.015873016	0.013612457	1.1660654	1.170032	1.170032	0.16102084	8.501849	False	0.57948148	1
Geriatric	Schwann and Neural/Glial cells	0	63	96	9697	0	0.0098999691	0	0	0.77830362	0.047805983	12.671145	True	1	1
Geriatric	T cells	0	63	74	9697	0	0.0076312262	0	0	1.0104635	0.061935445	16.485494	True	1	1
Geriatric	Tenocytes	1	63	82	9697	0.015873016	0.0084562236	1.8770809	1.9022302	1.9022302	0.26059612	13.885394	False	0.41534447	1
